"scientificName","acceptedNameUsage","kingdom","phylum","subphylum","class","subclass","superorder","order","suborder","infraorder","superfamily","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","nomenclaturalCode","reviewed","reviewedBy","reviewDate","accepted","whyNotAccepted"
"Allocebus trichotis","Allocebus trichotis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Allocebus",,"trichotis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Avahi betsileo","Avahi betsileo","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"betsileo",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Avahi cleesei","Avahi cleesei","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"cleesei",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Avahi laniger","Avahi laniger","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"laniger",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Avahi meridionalis","Avahi meridionalis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"meridionalis",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Avahi mooreorum","Avahi mooreorum","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"mooreorum",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Avahi occidentalis","Avahi occidentalis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"occidentalis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Avahi peyrierasi","Avahi peyrierasi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"peyrierasi",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Avahi ramanantsoavanai","Avahi ramanantsoavanai","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"ramanantsoavanai",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",-1,
"Avahi unicolor","Avahi unicolor","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"INDRIIDAE",,"Avahi",,"unicolor",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Cheirogaleus adipicaudatus","Cheirogaleus medius","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"medius",,,"ICZN",-1,"Rodin Rasoloarison","2011-10-03",0,
"Cheirogaleus crossleyi","Cheirogaleus crossleyi","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"crossleyi",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Cheirogaleus major","Cheirogaleus major","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"major",,,"ICZN",-1,"Edward Louis","2008-08-08",-1,
"Cheirogaleus medius","Cheirogaleus medius","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"medius",,,"ICZN",-1,"Edward Louis","2008-08-08",-1,
"Cheirogaleus minusculus","Cheirogaleus minusculus","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"minusculus",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Cheirogaleus ravus","Cheirogaleus major","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"major",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-03",0,
"Cheirogaleus sibreei","Cheirogaleus sibreei","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"CHEIROGALEIDAE",,"Cheirogaleus",,"sibreei",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
"Daubentonia madagascariensis","Daubentonia madagascariensis","ANIMALIA","CHORDATA",,"MAMMALIA",,,"PRIMATES",,,,"DAUBENTONIIDAE",,"Daubentonia",,"madagascariensis",,,"ICZN",-1,"Rodin Rasoloarison","2008-08-08",-1,
