"type","modified","language","rights","rightsHolder","accessRights","bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","associatedMedia","associatedReferences","associatedOccurrences","associatedSequences","associatedTaxa","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","SubPhylum","Subclass","SuperOrder","Suborder","InfraOrder","SuperFamily","Subfamily"
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"63",,,,,,,,"Hapalemur meridionalis","Hapalemur meridionalis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Hapalemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Hapalemur",,"meridionalis",,"species",,"Warter et al., 1987",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"64",,,,,,,,"Hapalemur occidentalis","Hapalemur occidentalis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Hapalemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Hapalemur",,"occidentalis",,"species",,"Rumpler, 1975",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"65",,,,,,,,"Hapalemur alaotrensis","Hapalemur alaotrensis",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Hapalemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Hapalemur",,"alaotrensis",,"species",,"Rumpler, 1975",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"66",,,,,,,,"Hapalemur aureus","Hapalemur aureus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Hapalemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Hapalemur",,"aureus",,"species",,"Meier et al., 1987",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"67",,,,,,,,"Prolemur simus","Prolemur simus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Prolemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Prolemur",,"simus",,"species",,"(Gray, 1871)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"68",,,,,,,,"Lemur catta","Lemur catta",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Lemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Lemur",,"catta",,"species",,"Linnaeus, 1758",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"69",,,,,,,,"Eulemur fulvus","Eulemur fulvus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"fulvus",,"species",,"(E. Geoffroy, 1796)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"70",,,,,,,,"Eulemur rufus","Eulemur rufus",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"rufus",,"species",,"(Audebert, 1799)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"71",,,,,,,,"Eulemur rufifrons","Eulemur rufifrons",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"rufifrons",,"species",,"(Bennett, 1833)",,"ICZN",,,,,,,,,,
,"2013-09-03","en",,,,,,,,,"ONE",,"Lemur Atlas Checklist",,"Taxon",,,,,,,,,"72",,,,,,,,"Eulemur albifrons","Eulemur albifrons",,,"Project to Atlas Lemur of Madagascar",,,"ANIMALIA;CHORDATA;VERTEBRATA;MAMMALIA;THERIA;EUTHERIA;PRIMATES;Strepsirrhini;Lemuriformes;;LEMURIDAE;;Eulemur","Animalia","Chordata","Mammalia","Primates","Lemuridae","Eulemur",,"albifrons",,"species",,"(E. Geoffroy, 1796)",,"ICZN",,,,,,,,,,
