Scientific name,id,id_intl,Author,Phyllum,Embranchement,Sous-Embranchement,Classe,Sous-Classe,Infra-classe,Order,Sous-Ordre,Infra-Ordre,Super-Famille,Family,Sub family,Genus,Species,Sub species,English name,French name,Malagasy name,Comoros name
Microcebus murinus,1,,"(J.F. Miller, 1777)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, murinus,,Gray mouse lemur,Cheirogale mignon,Tsidy (nord),
Microcebus murinus,1,,"(J.F. Miller, 1777)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, murinus,,Lesser mouse lemur,Cheirogale nain,Koitsiky,
Microcebus murinus,1,,"(J.F. Miller, 1777)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, murinus,,,Microcèbe murin,Tilivaha,
Microcebus murinus,1,,"(J.F. Miller, 1777)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, murinus,,,Petit microcèbe,Pondiky (Taolgnaro),
Microcebus griseorufus,2,,"Kollman, 1910",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, griseorufus,,Gray-brown mouse lemur,Microcèbe gris-roux,Pondiky,
Microcebus griseorufus,2,,"Kollman, 1910",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, griseorufus,,Reddish-gray mouse lemur,,Tsidy,
Microcebus griseorufus,2,,"Kollman, 1910",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, griseorufus,,Rufous-gray mouse lemur,,,
Microcebus berthae,3,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, berthae,,Madame Berthe's mouse lemur,Microcèbe de Madame Berthe,Tsidy bitika an'i Berthe,
Microcebus berthae,3,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, berthae,,Berthe's mouse lemur,,,
Microcebus myoxinus,4,,"Peters, 1852",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, myoxinus,,Peter's mouse lemur,Microcèbe de Peters,Tsidy,
Microcebus myoxinus,4,,"Peters, 1852",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, myoxinus,,Pygmy mouse lemur,Microcèbe pygmée,Malajira,
Microcebus myoxinus,4,,"Peters, 1852",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, myoxinus,,Dormouse lemur,,,
Microcebus ravelobensis,5,,"Zimmermann et al., 1997",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,ravelobensis,,Golden-brown mouse lemur,Microcèbe doré,Tsidy,
Microcebus ravelobensis,5,,"Zimmermann et al., 1997",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,ravelobensis,,Lac Ravelobe mouse lemur,,,
Microcebus bongolavensis,6,,"Olivieri et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,bongolavensis,,Bongolava mouse lemur,Microcèbe du Bongolava,Tsidy,
Microcebus danfossi,7,,"Olivieri et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, danfossi,,Ambarijeby mouse lemur,Microcèbe d'Ambarijeby,Tsidy
Microcebus danfossi,7,,"Olivieri et al., 2007",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, danfossi,,Danfoss' mouse lemur,Microcèbe de Danfoss,
Microcebus margotmarshae,8,,"Louis et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,margotmarshae,,Margot Marsh's mouse lemur,Microcèbe de Margot Marsh,Tsidy
Microcebus margotmarshae,8,,"Louis et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,margotmarshae,,Antafondro mouse lemur,,
Microcebus sambiranensis,9,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,sambiranensis,,Sambirano mouse lemur,Microcèbe du Sambirano,Tsidy
Microcebus sambiranensis,9,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,sambiranensis,,,,Tsitsihy
Microcebus sambiranensis,9,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,sambiranensis,,,,Vokimbahy
Microcebus mamiratra,10,,"Andriantompohavana et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, mamiratra,,Nosy Be mouse lemur,Microcèbe de Nosy Be,Valovi (Lokobe)
Microcebus mamiratra,10,,"Andriantompohavana et al., 2006",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, mamiratra,,Claire's mouse lemur,Microcèbe de Claire,
Microcebus tavaratra,11,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,tavaratra,,Tavaratra mouse lemur,Microcèbe roux du nord,Tsidy
Microcebus tavaratra,11,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,tavaratra,,Northern brown mouse lemur,,
Microcebus tavaratra,11,,"Rasoloarison et al., 2000",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,tavaratra,,Northern rufous mouse lemur,,
Microcebus arnholdi,12,,"Louis et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,arnholdi,,Montagne d'Ambre mouse lemur,Microcèbe de la Montagne d'Ambre,Tsidy
Microcebus arnholdi,12,,"Louis et al., 2008",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus,arnholdi,,Arnhold's mouse lemur,Microcèbe d'Arnhold,
Microcebus rufus,13,,"(Lesson, 1840)",ANIMALIA,CHORDATA,VERTEBRATA,MAMMALIA,THERIA,EUTHERIA,PRIMATES,Strepsirrhini ,Lemuriformes,,CHEIROGALEIDAE,,Microcebus, rufus,,Rufous mouse lemur,Microcèbe roux,Pondiky
