"taxonID","vernacularName","source","language","locality","countryCode"
56,"Red-tailed sportive lemur",,"en",,"MD"
56,"Red-tailed weasel lemur",,"en",,"MD"
57,"Zombitse sportive lemur",,"en",,"MD"
57,"Hubbard's sportive lemur",,"en",,"MD"
58,"Petter's sportive lemur",,"en",,"MD"
59,"White-footed sportive lemur",,"en",,"MD"
59,"White-footed weasel lemur",,"en",,"MD"
60,"Gray bamboo lemur",,"en",,"MD"
60,"Eastern gray bamboo lemur",,"en",,"MD"
60,"Eastern lesser bamboo lemur",,"en",,"MD"
60,"Gray gentle lemur",,"en",,"MD"
61,"Beanamalao bamboo lemur",,"en",,"MD"
61,"Gilbert's bamboo lemur",,"en",,"MD"
61,"Gilbert's gentle lemur",,"en",,"MD"
62,"Ranomafana bamboo lemur",,"en",,"MD"
62,"Ranomafana gentle lemur",,"en",,"MD"
63,"Southern bamboo lemur",,"en",,"MD"
63,"Rusty-gray bamboo lemur",,"en",,"MD"
63,"Southern lesser bamboo lemur",,"en",,"MD"
63,"Southern gentle lemur",,"en",,"MD"
64,"Northern bamboo lemur",,"en",,"MD"
64,"Western lesser bamboo lemur",,"en",,"MD"
64,"Western gentle lemur",,"en",,"MD"
65,"Lac Alaotra bamboo lemur",,"en",,"MD"
65,"Alaotran bamboo lemur",,"en",,"MD"
65,"Lac Alaotra gentle lemur",,"en",,"MD"
66,"Golden bamboo lemur",,"en",,"MD"
67,"Greater bamboo lemur",,"en",,"MD"
67,"Broad-nosed bamboo lemur",,"en",,"MD"
67,"Broad-nosed gentle lemur",,"en",,"MD"
68,"Ring-tailed lemur",,"en",,"MD"
69,"Brown lemur",,"en",,"MD"
69,"Common brown lemur",,"en",,"MD"
70,"Rufous brown lemur",,"en",,"MD"
70,"Northern red-fronted lemur",,"en",,"MD"
70,"Red-fronted brown lemur",,"en",,"MD"
71,"Red-fronted brown lemur",,"en",,"MD"
71,"Southern red-fronted brown lemur",,"en",,"MD"
72,"White-fronted brown lemur",,"en",,"MD"
72,"White-fronted lemur",,"en",,"MD"
72,"White-headed brown lemur",,"en",,"MD"
73,"Sanford's brown-lemur",,"en",,"MD"
73,"Sanford's lemur",,"en",,"MD"
74,"White-collared brown lemur",,"en",,"MD"
74,"Gray-headed brown lemur",,"en",,"MD"
