Ta_Id,Id_Accepted,NomenclaturalCode,Kingdom,KingdomSource,Phylum,PhylumSource,SubPhylum,SubPhylumSource,Class,ClassSource,Subclass,SubclassSource,SuperOrder,SuperOrderSource,Order,OrderSource,Suborder,SuborderSource,InfraOrder,InfraOrderSource,SuperFamily,SuperfamilySource,Family,FamilySource,Subfamily,SubfamilySource,Genus,GenusSource,Subgenus,SubgenusSource,SpecificEpithet,SpecificEpithetSource,InfraspecificRank,InfraspecificEpithet,InfraspecificEpithetSource,AcceptedSpecies,VerbatimSpecies,VerbatimSpeciesSource,IsMarine,IsTerrestrial,Comments,ReviewedBy,ReviewDate,Notes,Status,ChangedBy,ChangeDate,Validation,ValidatedBy,ValidationDate,Stability
68,234,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Allocebus,Petter-Rousseaux and Petter. 1967 Hairy-eared dwarf lemur,,,trichotis,(Günther 1875),,,,Allocebus trichotis,Allocebus trichotis,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
231,687,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Avahi_(genus),CHORDATA,http://en.wikipedia.org/wiki/Avahi_(genus),,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,betsileo,Andriantompohavana et al. 2007,,,,Avahi betsileo,Avahi betsileo,Andriantompohavana et al. 2007,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
232,688,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,cleesei,Thalmann and Geissmann 2005,,,,Avahi cleesei,Avahi cleesei,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
233,689,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,laniger,(Gmelin 1788),,,,Avahi laniger,Avahi laniger,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
234,690,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Avahi_(genus),CHORDATA,http://en.wikipedia.org/wiki/Avahi_(genus),,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,meridionalis,Zaramody et al. 2006,,,,Avahi meridionalis,Avahi meridionalis,Zaramody et al. 2006,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
235,691,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Avahi_(genus),CHORDATA,http://en.wikipedia.org/wiki/Avahi_(genus),,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,mooreorum,Lei et al. 2008,,,,Avahi mooreorum,Avahi mooreorum,Lei et al. 2008,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
236,692,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,occidentalis,(Lorenz von Liburnau 1898),,,,Avahi occidentalis,Avahi occidentalis,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
237,693,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Avahi_(genus),CHORDATA,http://en.wikipedia.org/wiki/Avahi_(genus),,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,peyrierasi,Zaramody et al. 2006,,,,Avahi peyrierasi,Avahi peyrierasi,Zaramody et al. 2006,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
238,694,ICZN,ANIMALIA,http://en.wikipedia.org/wiki/Avahi_(genus),CHORDATA,http://en.wikipedia.org/wiki/Avahi_(genus),,,MAMMALIA,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,PRIMATES,HTTP://EN.WIKIPEDIA.ORG/WIKI/AVAHI_(GENUS),,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,ramanantsoavanai,Zaramody et al. 2006,,,,Avahi ramanantsoavanai,Avahi ramanantsoavanai,Zaramody et al. 2006,0,1,,Rodin Rasoloarison,,,,,10/3/2011,OK,Rodin Rasoloarison,10/3/2011,1
239,695,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,INDRIIDAE,BURNETT. 1828,,,Avahi,Jourdan. 1834 Woolly lemurs or Avahis,,,unicolor,Thalmann and Geissmann 2000,,,,Avahi unicolor,Avahi unicolor,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
847,1707,ICZN,ANIMALIA,VERTNET,CHORDATA,VERTNET,,,MAMMALIA,VERTNET,,,,,PRIMATES,VERTNET,,,,,,,CHEIROGALEIDAE,GRAY. 1873,,,Cheirogaleus,E. Geoffroy. 1812 Dwarf lemurs,,,crossleyi,(A. Grandidier 1870),,,,Cheirogaleus crossleyi,Cheirogaleus crossleyi,,0,1,,Rodin Rasoloarison,,,,,8/8/2008,OK,Rodin Rasoloarison,10/3/2011,1
