datasource_and_rights	type	modified	language	rights	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	ownerinstitutioncode	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	occurrenceremarks	recordnumber	recordedby	individualid	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	othercatalognumbers	previousidentifications	associatedmedia	associatedreferences	associatedoccurrences	associatedsequences	associatedtaxa	eventid	samplingprotocol	samplingeffort	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	fieldnumber	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	verbatimelevation	minimumelevationinmeters	maximumelevationinmeters	verbatimdepth	minimumdepthinmeters	maximumdepthinmeters	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	pointradiusspatialfit	footprintwkt	footprintsrs	footprintspatialfit	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	identificationqualifier	typestatus	taxonid	scientificnameid	acceptednameusageid	parentnameusageid	originalnameusageid	nameaccordingtoid	namepublishedinid	taxonconceptid	scientificname	acceptednameusage	parentnameusage	originalnameusage	nameaccordingto	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	nomenclaturalstatus	taxonremarks
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					95882	NOTES: Elevation:  500m<alt.<900m		Lucienne Wilmé		1					native	present					http://macaulaylibrary.org/audio/95882								1986-11-14		318	318	1986	11	14	14 Nov 1986							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Parc National Ranomafana	Madagascar; Fianarantsoa; ; Parc National Ranomafana																-21.2666667	47.4666667	not recorded (forced WGS84)											requires verification																																				Lemur rubriventer								Animalia	Chordata	Mammalia	Primates	Lemuridae	Lemur		rubriventer		species				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					85832	NOTES: Recordist- Pre-dawn.  Field tape is labelled as U6, but was found in, and matches list on, box labelled U1.		Nigel Tucker		1					native	present					http://macaulaylibrary.org/audio/85832								1988-11-04		309	309	1988	11	4	4 Nov 1988							;Madagascar;Toliara;;;;;	Africa			Madagascar	Madagascar	MG	Atsimo-Andrefana			Berenty Reserve	Madagascar; Toliara; ; Berenty Reserve																-25	46.3	not recorded (forced WGS84)											requires verification																																				Lemur catta								Animalia	Chordata	Mammalia	Primates	Lemuridae	Lemur		catta		species			ring-tailed lemur	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					125332	NOTES: Mmm calls....may grade into their Hum call.		Erik Patel		1				call	native	present					http://macaulaylibrary.org/audio/125332								2000-05-30		151	151	2000	5	30	30 May 2000							;Madagascar;Fianarantsoa;;;;;					Madagascar		Fianarantsoa			Fianarantsoa City; Ranomafana National Park	Madagascar; Fianarantsoa; ; Fianarantsoa City; Ranomafana National Park																-21.35	47.45	not recorded (forced WGS84)											requires verification																																				Propithecus diadema edwardsi								Animalia	Chordata	Mammalia	Primates	Indridae	Propithecus		diadema	edwardsi	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					95319			Thomas Schulenberg		1				call	native	present					http://macaulaylibrary.org/audio/95319								1991-03-31		90	90	1991	3	31	31 Mar 1991							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Kalotsara on Sahatromoana R., Reserve Naturelle Integrale de Zahamena	Madagascar; Toamasina; ; Kalotsara on Sahatromoana R., Reserve Naturelle Integrale de Zahamena																-17.7	48.7666667	not recorded (forced WGS84)											requires verification																																				Varecia variegata								Animalia	Chordata	Mammalia	Primates	Lemuridae	Varecia		variegata		species			ruffed lemur	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					95926	NOTES: Elevation:  930m<alt<1040m		Lucienne Wilmé		1					native	present					http://macaulaylibrary.org/audio/95926								1986-11-28		332	332	1986	11	28	28 Nov 1986							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Reserve Speciale Perinet Analamazaotra	Madagascar; Toamasina; ; Reserve Speciale Perinet Analamazaotra																-18.4666667	48.4666667	not recorded (forced WGS84)											requires verification																																				Indri indri								Animalia	Chordata	Mammalia	Primates	Indridae	Indri		indri		species			indri	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					95934	NOTES: Elevation:  930m<alt<1040m		Lucienne Wilmé		1				song	native	present					http://macaulaylibrary.org/audio/95934								1986-11-29		333	333	1986	11	29	29 Nov 1986							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Reserve Speciale Perinet Analamazaotra	Madagascar; Toamasina; ; Reserve Speciale Perinet Analamazaotra																-18.4666667	48.4666667	not recorded (forced WGS84)											requires verification																																				Indri indri								Animalia	Chordata	Mammalia	Primates	Indridae	Indri		indri		species			indri	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					100033	NOTES: Elevation:  930m<alt<1040m		Lucienne Wilmé		1					native	present					http://macaulaylibrary.org/audio/100033								1989-01-07		7	7	1989	1	7	7 Jan 1989							;Madagascar;Toamasina;;;;;	Africa			Madagascar	Madagascar	MG	Atsinanana	Toamasina		Reserve Speciale Perinet Analamazaotra	Madagascar; Toamasina; ; Reserve Speciale Perinet Analamazaotra																-18.4666667	48.4666667	not recorded (forced WGS84)											requires verification																																				Indri indri								Animalia	Chordata	Mammalia	Primates	Indridae	Indri		indri		species			indri	ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					95287	NOTES: Identification of Propithecus verreauxi coquereli provided by Lucienne Wilm¿.  Identified by recordist as Propithecus sp.		Thomas Schulenberg		1					native	present					http://macaulaylibrary.org/audio/95287								1992-10-26		300	300	1992	10	26	26 Oct 1992							;Madagascar;Mahajanga;;;;;					Madagascar		Mahajanga			Station Forestiere Ampijoroa	Madagascar; Mahajanga; ; Station Forestiere Ampijoroa																-16.25	46.8	not recorded (forced WGS84)											requires verification																																				Propithecus verreauxi coquereli								Animalia	Chordata	Mammalia	Primates	Indridae	Propithecus		verreauxi	coquereli	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					126603	NOTES: Howls emitted while RC (juv male), BC ( young adult male), and BB (young adult male) were spatially separated (or left behind) by the older 3 adults in the group.  Unclear exactly which of the three males were calling at this time.		Erik Patel		1					native	present					http://macaulaylibrary.org/audio/126603								2001-09-07		250	250	2001	9	7	7 Sep 2001							;Madagascar;;;;;;	Africa	Indian Ocean		Madagascar	Madagascar	MG				Sambava	Madagascar; ; ; Sambava																-14.4333333	49.7616667	not recorded (forced WGS84)											requires verification																																				Propithecus diadema candidus								Animalia	Chordata	Mammalia	Primates	Indridae	Propithecus		diadema	candidus	subspecies				ICZN			
http://ipt.vertnet.org:8080/ipt/resource.do?r=cuml_sound_film									urn:lsid:biocol.org:col:34939			CUML	Sound/Film			MachineObservation					126606	NOTES: Howls and Zzuss.		Erik Patel		1					native	present					http://macaulaylibrary.org/audio/126606								2001-09-07		250	250	2001	9	7	7 Sep 2001							;Madagascar;;;;;;	Africa	Indian Ocean		Madagascar	Madagascar	MG				Sambava	Madagascar; ; ; Sambava																-14.4333333	49.7616667	not recorded (forced WGS84)											requires verification																																				Propithecus diadema candidus								Animalia	Chordata	Mammalia	Primates	Indridae	Propithecus		diadema	candidus	subspecies				ICZN			
